nf_doc,Vl. Faturamento2
000000007,-232.16
000001607,-68.07
000001628,-43.28
000001633,-23.92
000001661,-597.72
000001663,-288.16
000002555,-1911.48
000005606,-160.51
000011445,-170.55
000024443,-15.06
000037520,-4024.1800000000003
000111316,-385.34
000164397,-371.21999999999997
000212199,-512.15
000223079,-239.45
000369659,-105.04
000465411,-3387.39
000500096,-83.81
000655254,-126.49
000712034,-101.65
001069531,-105.84
001073850,-296.62
001967160,-80.6
001972136,-40.3
004334051,-15.66
020927426,-205.99
021410382,-202.7
021410389,-133.25
021472199,-69.76
021498346,-9875.76
148359,-3698.2799999999997
148360,655.22
148361,411.68
148362,1135.8999999999999
148364,6930.94
148366,1082.88
148367,294.59
148368,9340.380000000003
148370,3066.19
148371,957.83
148372,4168.8
148373,11803.430000000002
148374,576.16
148375,2525.54
148376,1401.38
148377,12504.34
148378,1736.4
148379,833.76
148380,10630.190000000002
148381,3899.14
148382,1632.7400000000002
148383,9327.170000000002
148384,4616.920000000001
148385,10536.689999999999
148386,21439.2
148387,4812.74
148388,5303.29
148389,3105.109999999999
148392,2389.8199999999997
148393,3177.59
148395,4324.419999999999
148396,1948.71
148397,14670.09
148399,5315.22
148400,11055.13
148401,19078.269999999997
148402,3703.8300000000004
148403,6816.09
148404,1636.8899999999999
148405,3211.8600000000006
148406,5761.01
148407,4540.91
148408,3038.3299999999995
148410,3303.349999999999
148411,5732.959999999999
148412,4513.8
148413,2314.2
148414,5429.920000000002
148416,17951.27
148417,2668.6899999999996
148419,225.22
148420,401.44
148421,3054.01
148422,1520.33
148423,1125.1000000000001
148424,-11455.91
148425,12601.890000000001
148426,52209.46000000002
148429,3888.18
148430,4760.37
148431,3351.7500000000005
148432,3890.45
148433,4345.63
148434,1566.6
148435,5006.75
148436,5150.98
148437,11020.249999999998
148438,1633.91
148440,4572.88
148442,15358.42
148444,10102.67
148445,9453.23
148446,5205.79
148447,3014.72
148449,19789.800000000003
148451,1446.3200000000002
148452,3055.52
148453,11454.89
148454,2343.54
148455,1516.0700000000002
148456,12604.3
148457,3853.16
148458,4728.05
148459,2365.6499999999996
148460,2689.2000000000003
148461,7942.03
148462,1576.2
148463,6780.41
148464,2657.59
148465,21114.399999999998
148466,1959.77
148467,2529.95
148468,1811.93
148469,3030.04
148470,2756.7400000000002
148471,7559.66
148472,3151.08
148473,401.44
148475,1326.58
148476,4469.57
148477,25221.85
148478,11413.109999999999
148479,10236.72
148480,2330.6800000000003
148481,4538.200000000002
148482,3191.8
148483,2861.88
148484,2689.74
148485,3025.8600000000006
148486,1614.1000000000001
148487,3135.74
148488,2678.69
148489,2865.9899999999993
148490,2174.02
148492,13863.579999999998
148493,3021.5299999999997
148494,1210.85
148495,3399.59
148496,2642.56
148497,401.44
148499,592.19
148500,602.16
148501,1263
148503,2411.96
148504,11193.04
148505,2913.3399999999997
148506,4746.33
148507,10078.330000000002
148508,10097.390000000001
148509,2613.52
148510,23904.23
148512,1875.94
148514,316.88
148515,670
148517,35085.86
148519,2078.8900000000003
148520,99.51
148521,5632.38
148523,2101.9
148524,12672.980000000001
148526,1810.7
148527,5146.94
148528,1092.56
148529,6877.059999999999
148530,11167.359999999999
148531,531.18
148532,1215.9
148533,32120
148534,6686.5
148535,6635
148536,33864.66
148538,4683.92
148539,16132.84
148540,11243.959999999997
148541,12805.11
148542,10095.099999999995
148543,6634.41
148545,3713.5
148546,18774.53
148547,6806.6900000000005
148548,5346.379999999999
148549,5869.12
148550,6474.38
148551,1824.4499999999998
148552,5860.820000000001
148553,5136.0599999999995
148554,14082.48
148555,4300.76
148556,2979.1699999999996
148557,12623.52
148558,10783.02
148559,12373.97
148560,530.4
148563,6408.31
148564,2590.75
148565,6546.990000000001
148566,3108.38
148567,1770.4
148568,112.96
148569,22036.899999999998
148570,17252.010000000002
148571,909.3
148572,13531.350000000002
148574,11395.8
148575,8068.8
148576,14028.98
148577,2778.3199999999997
148578,9097.03
148579,6954.44
148580,6245.2300000000005
148581,13261.53
148582,5597.280000000001
148583,1529.27
148584,3324.9
148585,3574.95
148586,53150.99
148587,13045.569999999996
148588,3883.72
148589,3689.1
148590,7521.88
148591,7806.680000000004
148592,13679.67
148593,4017.1099999999997
148594,3570.31
148595,6033.3499999999985
148596,1785.1399999999999
148597,2990.82
148598,5041.0599999999995
148599,3355.4500000000003
148600,1729.61
148601,1611.82
148602,12967.220000000001
148603,1861.12
148604,1976.1599999999999
148605,479.4
148606,5535.439999999999
148607,6913.000000000002
148608,3791.63
148609,14212.400000000003
148610,3498.45
148611,3147.96
148612,2942.939999999999
148613,6750.32
148614,16880.73
148616,1753.2199999999998
148618,2132.26
148619,330159.5
148620,1542.4699999999998
148623,14424.65
148624,4084.7200000000003
148625,9874.469999999998
148626,3215.8799999999997
148627,10007.4
148628,1549.4499999999998
148629,849.79
148630,11151.07
148631,5283.950000000001
148632,4650.39
148633,735.08
148634,8738.87
148635,5595.57
148636,5423.17
148637,3698.83
148639,13458.08
148640,12655.07
148641,9607.72
148642,11674.09
148643,737.85
148644,-500.37
148645,-511.66999999999996
148646,1907.35
148649,-511.03
148650,3067.2799999999997
148651,-502.82
148652,-504.11999999999995
148653,159.8
148654,2407.91
148655,888.22
148656,2213.5
148657,1664.5200000000002
148658,2033.3600000000001
148659,1761.8200000000002
148660,401.44
148662,6808
148663,5311.35
148664,5027.91
148665,11804.919999999996
148666,28194.04
148667,1843.3400000000001
148668,2496.77
148669,10139.58
148670,4989.51
148671,1699.58
148672,4429.37
148673,3663
148674,5368.9400000000005
148675,6235.43
148676,5727.880000000001
148677,11549.720000000001
148678,3241.63
148679,30796.35
148680,3754.26
148681,8585.63
148684,3621.52
148685,66808.68000000001
148687,3200.07
148688,5016.659999999999
148689,973.28
148690,4262.01
148691,16201.46
148692,905.55
148693,9920.650000000001
148694,5829.9
148695,2176.86
148696,32120
148697,724.13
148698,27701.51
148699,3002.8600000000006
148700,4139.38
148701,10638.17
148702,7225.81
148703,8617.900000000001
148704,1585.05
148705,3690.37
148706,4306.120000000001
148707,3160.25
148709,6975.59
148710,2330.2
148711,4979.66
148712,4120.55
148713,22315.260000000002
148714,1725.92
148715,14516.810000000001
148716,3279.95
148717,12775.36
148718,8340.93
148719,139.67
148720,99.51
148721,-509.71
148722,388.21
148723,-340.39
148724,638.64
148725,-2513.9
148726,364.46000000000004
148727,519.18
148728,22281.100000000002
148729,5000
148730,12570.81
148731,1585.87
148732,4519.4400000000005
148733,7512.8
148734,5745.27
148735,4934.5
148736,12551.29
148737,5695.18
148738,1535.7
148739,4461.76
148740,4461.76
148741,4099.06
148742,8129.68
148743,5731.6
148744,2241.3
148745,39283.62
148746,10507.05
148749,-507.6499999999999
148752,1656.03
148754,1614.58
148755,12392.330000000002
148757,5146.94
148758,1970.44
148759,1502.22
148760,3060.11
148761,874.43
148762,1996.79
148763,1963.7
148764,126.49
148765,255239.3399999999
148768,3044.8100000000004
148770,7557.470000000004
148771,6830.530000000002
148772,6223.22
148773,6488.73
148774,1611.55
148775,3190.54
148776,4265.74
148777,4650.35
148778,3054.94
148779,2788.6
148780,5285.73
148781,1500.1200000000001
148782,3485.51
148784,1968.36
148785,7363.450000000001
148786,3690.24
148787,20630.800000000003
148788,18213.77
148789,3079.54
148790,9787.880000000001
148791,3223.36
148792,-851.86
148793,-983.26
148794,1547.93
148795,-503.71999999999997
148796,-494.4
148797,-502.96
148798,-763.4100000000001
148799,-504.98
148800,-505.56000000000006
148801,-504.97999999999996
148802,-857.0799999999999
148803,-647.4
148804,996.01
148805,-806.0899999999999
148806,-507.91999999999996
148807,-502.47999999999996
148808,-501.27
148809,-835.71
148810,-723.3299999999999
148811,-509.74
148812,-509.54
148813,-678
148814,-505.02000000000004
148815,-685.21
148816,-693.7900000000001
148817,-668.0600000000001
148818,-509.49
148819,-512.28
148820,-506.62
148821,-560.4
148822,-511.45
148823,-510.22999999999996
148824,-678.1700000000001
148825,-501.05
148826,-1027.83
148827,-506.61999999999995
148828,-504.22
148829,-501.06
148830,-500.86000000000007
148831,-502.06
148832,-659.3100000000001
148833,-810.8
148834,-510.65999999999997
148835,-529.06
148836,-508.36999999999995
148837,-555.4499999999999
148838,200.72
148839,-633.43
148840,-540.9
148841,-847.6800000000001
148842,-507.53
148843,-512.02
148844,-505.9599999999999
148845,-509.67
148846,200.72
148848,-505.54
148849,-535.22
148850,-567.15
148851,-505.9599999999999
148852,86474.34
148853,17951.27
148854,18380.26
148855,9924.23
148856,6910.78
148857,18626.31
148858,295378.7599999999
148860,39124.920000000006
148861,10369.59
148862,19220.68
148864,8253
148866,6025.139999999999
148867,380.06
148870,204.39
148871,200.72
148872,10079.98
148873,2728.29
148874,522.64
148875,191441.63999999998
148876,511.84000000000003
148877,501.96000000000004
148878,511.22999999999996
148879,500.12
148880,504.43999999999994
148881,637.82
148882,508.29
148883,505.35
148884,510.01
148885,503.63999999999993
148886,502.82
148887,51030.11
148888,3609.9
148889,5885.54
148890,5459.78
148891,3063.74
148892,1679.8899999999999
148893,9603.34
148894,3052.81
148896,12623.41
148898,3189.54
148899,3767.99
148900,1702.97
148901,1198.5
148903,1008.24
148905,32968.17999999999
148906,21503.03
148907,4981.1900000000005
148908,5942.5
148909,5409.88
148910,4126.039999999999
148911,4651.04
148912,25187.319999999996
148913,30223.709999999995
148914,1025.06
148915,4170.37
148916,2711.25
148918,14131.760000000002
148919,13057.97
148920,8340.74
148921,5655.05
148922,14237.119999999999
148924,1084.08
148925,-693.7900000000001
148926,-560.4
148927,-2766
148928,1680.03
148929,1742.04
148930,3118.89
148932,1394.3
148933,699.5799999999999
148935,401.72
148936,7636.86
148937,6861.7
148938,2050.64
148940,1464.72
148942,602.16
148945,5286.32
148946,5272.44
148947,15051.36
148948,3028.37
148950,3726
148951,1671.81
148952,1958.23
148953,3170.77
148954,3158.9300000000007
148955,4650.35
148956,13405.599999999999
148957,3622.47
148958,1919.46
148959,1323.0100000000002
148960,3080.26
148961,5457.63
148962,7321.139999999999
148963,2993.6
148964,1866.09
148965,5499.59
148966,956.1
148967,17101.91
148968,1008.24
148969,582.4200000000001
148970,508.31
148971,580.95
148972,509.48
148973,501.86
148974,507.70000000000005
148975,656.5899999999999
148976,824.2
148977,501.49
148978,500.1
148979,503.67999999999995
148980,692.2
148981,508.52
148982,503.82000000000005
148983,500.59
148984,704.2799999999999
148985,2953.8800000000006
148986,4930.53
148987,5802.45
148988,5012.139999999999
148989,10512.01
148990,1838.35
148991,10701.6
148992,4733.120000000002
148994,10179.990000000002
148995,1603.1299999999999
148996,29437.420000000002
148997,19954.71
148998,10114.01
148999,55.51
149000,8561.6
149001,9101.84
149002,3316.16
149003,7215.47
149004,6610.460000000002
149005,24080.030000000006
149006,18059.46
149007,5058.189999999999
149008,4699.2
149009,10182.73
149010,26482.22
149011,3053.25
149012,2953.5899999999997
149013,957.83
149015,1548.86
149017,287.47
149019,1028.79
149020,126.49
149021,2064.31
149024,13020.080000000002
149025,10005.909999999998
149026,3360.6000000000004
149027,1595.1100000000001
149028,5087.7300000000005
149029,1513.4
149030,4181.02
149031,2403.31
149032,200.72
149033,2216.1899999999996
149034,4806.49
149035,1560.2100000000003
149036,5611.78
149037,1813.43
149038,4152.32
